,Shapiro_val,Shapiro_p,Skewness,Kurtosis,AIC,BIC,SMSE,MSLL,marker
pericalcarine_rh_alpha_knee_periodic,0.998976336714349,0.8358516596521326,-0.0007477463125021,-0.0802230611197925,[2625.98373411],[2824.20746896],0.9232386079282254,-0.0994906261803434,pericalcarine_rh_alpha_knee_periodic
postcentral_lh_alpha_knee_periodic,0.998725267078008,0.6683755531716695,-0.0393627991010468,-0.0301919154045284,[2805.1951644],[3003.38065932],0.961553298633058,-0.0203663542252421,postcentral_lh_alpha_knee_periodic
postcentral_rh_alpha_knee_periodic,0.9993262659501756,0.9779634948623528,-0.0095394872284087,0.0104408026688691,[2866.98122934],[3065.24303952],0.971165672516939,-0.0233301168110791,postcentral_rh_alpha_knee_periodic
posteriorcingulate_lh_alpha_knee_periodic,0.9989727665743164,0.8337054435190626,0.0187507579394838,-0.0574384346444913,[2857.45923858],[3055.68297261],0.9808382924187468,-0.048708726897574,posteriorcingulate_lh_alpha_knee_periodic
posteriorcingulate_rh_alpha_knee_periodic,0.9986357971297362,0.6036620712897165,0.016438552185979,-0.0805623197986817,[2860.40040863],[3058.66228289],0.9826636208206578,-0.0464587551142706,posteriorcingulate_rh_alpha_knee_periodic
precentral_lh_alpha_knee_periodic,0.9979663071370846,0.235342184287037,-0.015024487668517,-0.0040726381184224,[2755.72020432],[2953.8675496],0.9526867725106668,-0.0598181607433269,precentral_lh_alpha_knee_periodic
precentral_rh_alpha_knee_periodic,0.9983302577872604,0.4056931208589616,-0.0152786858325104,-0.079471270462732,[2734.47044078],[2932.732253],0.9583358462225268,0.0009057656984771,precentral_rh_alpha_knee_periodic
precuneus_lh_alpha_knee_periodic,0.9979434562611444,0.2255867631083216,0.0521729004525394,-0.1029605915453091,[2741.48410609],[2939.7078447],0.9591456136058522,-0.0995545057397663,precuneus_lh_alpha_knee_periodic
precuneus_rh_alpha_knee_periodic,0.9983650918191196,0.4269424609965487,0.0460682493852851,-0.0460764918776335,[2754.32327353],[2952.54700101],0.9578398716262008,-0.0883169799359317,precuneus_rh_alpha_knee_periodic
rostralanteriorcingulate_lh_alpha_knee_periodic,0.9992324644293094,0.9562577752578116,0.0059730216389438,0.0057250464817029,[2886.87941033],[3084.79687316],0.9727508721406009,-0.0513820322529169,rostralanteriorcingulate_lh_alpha_knee_periodic
rostralanteriorcingulate_rh_alpha_knee_periodic,0.9987285383834564,0.6730083836842127,-0.0349146806717458,-0.0255266469301957,[2903.23104601],[3101.30192779],0.9760366754324948,-0.0247843744123344,rostralanteriorcingulate_rh_alpha_knee_periodic
rostralmiddlefrontal_lh_alpha_knee_periodic,0.998344449560402,0.413925673101262,0.0127666625196166,-0.0799549692605032,[2900.05668319],[3098.31845338],0.9629729125546972,-0.0451006356951744,rostralmiddlefrontal_lh_alpha_knee_periodic
rostralmiddlefrontal_rh_alpha_knee_periodic,0.998897925361964,0.790223612464511,-0.0105969055001659,-0.103691415982428,[2894.31889518],[3092.31317766],0.9681943848595896,-0.033065476159815,rostralmiddlefrontal_rh_alpha_knee_periodic
superiorfrontal_lh_alpha_knee_periodic,0.997815210414035,0.1836968206771861,-0.0456330248519002,0.0602151952902461,[2959.96069178],[3158.14623401],0.9934808758544584,-0.0032524986503825,superiorfrontal_lh_alpha_knee_periodic
superiorfrontal_rh_alpha_knee_periodic,0.9987539567310776,0.689364744089124,-0.0498263770528162,0.042866494353607,[2952.41179723],[3150.55915794],0.99154987085268,0.0033931350900211,superiorfrontal_rh_alpha_knee_periodic
superiorparietal_lh_alpha_knee_periodic,0.996725212326074,0.0280649300814852,-0.0030394669157061,0.0365240042712753,[2703.57567903],[2901.83753284],0.9627699456877592,-0.0997090972811595,superiorparietal_lh_alpha_knee_periodic
superiorparietal_rh_alpha_knee_periodic,0.99854977995124,0.545090083670669,0.0089505801458545,-0.0348611191324277,[2791.34812941],[2989.57188577],0.9580432423568294,-0.0806333166643289,superiorparietal_rh_alpha_knee_periodic
superiortemporal_lh_alpha_knee_periodic,0.9986096984339264,0.5862701786418033,-0.0151579384827245,-0.1031472390984737,[2894.79562447],[3093.01936786],0.9704509324203608,-0.0572842424819793,superiortemporal_lh_alpha_knee_periodic
superiortemporal_rh_alpha_knee_periodic,0.9989671646488604,0.8319199642868751,-0.0255360543873432,-0.0279688121930856,[2893.22857878],[3091.33767287],0.9619743392708284,-0.0610654821752758,superiortemporal_rh_alpha_knee_periodic
supramarginal_lh_alpha_knee_periodic,0.9972901956359144,0.0752298789756539,-0.0465536953991686,0.0913216278122623,[2794.97090703],[2993.19468278],0.9530692636745683,-0.053725875937043,supramarginal_lh_alpha_knee_periodic
supramarginal_rh_alpha_knee_periodic,0.998564109481475,0.5565420734894182,-0.0241160684306082,-0.0169927420487021,[2920.28042628],[3118.42774708],0.9770512413233772,-0.0311451581984432,supramarginal_rh_alpha_knee_periodic
temporalpole_lh_alpha_knee_periodic,0.9986356273602376,0.6109863958877777,-0.0157320031471673,0.0173131359206086,[2831.03020196],[3028.94757522],0.9462155645140404,-0.0686563645072106,temporalpole_lh_alpha_knee_periodic
temporalpole_rh_alpha_knee_periodic,0.9981175483183382,0.301980194926412,-0.0419905328982365,0.0629971519321439,[2829.51105512],[3027.46697478],0.9458784062391712,-0.0697349666207938,temporalpole_rh_alpha_knee_periodic
transversetemporal_lh_alpha_knee_periodic,0.999102849287128,0.904390073480008,-0.0016905964363247,-0.0902022951521583,[2964.77294978],[3162.95839824],0.9797342136458412,-0.0331191129662561,transversetemporal_lh_alpha_knee_periodic
transversetemporal_rh_alpha_knee_periodic,0.9972304991755072,0.0678525518816836,0.0401657121414949,-0.1022674538509185,[2929.92610522],[3128.14986204],0.9705242426303928,-0.0279775690251128,transversetemporal_rh_alpha_knee_periodic
bankssts_lh_beta_knee_periodic,0.9992128915898773,0.949283531256795,0.0105025176701345,0.0329545734049094,[2719.51827961],[2917.58921154],0.969141634029132,-0.0252112062598242,bankssts_lh_beta_knee_periodic
bankssts_rh_beta_knee_periodic,0.9970597817188368,0.0518630725056014,-0.0727800854598728,0.1162745995558269,[2739.06520144],[2937.05944184],0.9835186735675158,-0.0099381871776432,bankssts_rh_beta_knee_periodic
caudalanteriorcingulate_lh_beta_knee_periodic,0.99824498410898,0.3618392584269881,-0.0020704088416492,0.0765270194704377,[2862.57409178],[3060.6831301],0.9964309230536716,0.0153154594336313,caudalanteriorcingulate_lh_beta_knee_periodic
caudalanteriorcingulate_rh_beta_knee_periodic,0.9992444142372734,0.9595632172055572,0.0223721692285946,0.0244173336246551,[2826.96689133],[3024.92273907],0.992271778876491,-0.0081753106643549,caudalanteriorcingulate_rh_beta_knee_periodic
caudalmiddlefrontal_lh_beta_knee_periodic,0.998452002265972,0.486644601339534,-0.0080256062340609,0.0144537261959158,[2804.52350564],[3002.4794918],0.997304263949382,0.0386277959900525,caudalmiddlefrontal_lh_beta_knee_periodic
caudalmiddlefrontal_rh_beta_knee_periodic,0.9977478213584756,0.1659866649287648,-0.013266282588204,0.084032025363177,[2829.34275207],[3027.41365333],0.9982561288568388,0.0649495979927464,caudalmiddlefrontal_rh_beta_knee_periodic
