marker,mean,std,source
caudalmiddlefrontal_rh_theta_periodic,0.062054276,0.1017817304,regression exacte (residu < 1e-14)
connectivity_all_mean,0.3463774638,0.0063123955,"moyenne des 68 ROI, verifiee (residu 0e+00)"
connectivity_alpha_mean,0.3566609444,0.0137354274,"moyenne des 68 ROI, verifiee (residu 1e-16)"
connectivity_beta_mean,0.3468302656,0.0058083108,"moyenne des 68 ROI, verifiee (residu 0e+00)"
connectivity_delta_mean,0.329845408,0.0213066539,"moyenne des 68 ROI, verifiee (residu 3e-16)"
connectivity_gamma_mean,0.3483245856,0.0075926554,"moyenne des 68 ROI, verifiee (residu 0e+00)"
connectivity_theta_mean,0.3304575991,0.0096713421,"moyenne des 68 ROI, verifiee (residu 1e-16)"
cuneus_lh_all_connectivity,0.3456239182,0.0063030254,regression exacte (residu < 1e-14)
cuneus_lh_all_entropy,0.7802126208,0.0167303143,regression exacte (residu < 1e-14)
cuneus_lh_all_periodic,0.0703887125,0.029371009,regression exacte (residu < 1e-14)
cuneus_lh_alpha_connectivity,0.3595746902,0.0175566143,regression exacte (residu < 1e-14)
cuneus_lh_alpha_entropy,0.573655957,0.003024633,regression exacte (residu < 1e-14)
cuneus_lh_alpha_periodic,0.1880283967,0.1815012874,regression exacte (residu < 1e-14)
cuneus_lh_beta_connectivity,0.3457187283,0.0059752167,regression exacte (residu < 1e-14)
cuneus_lh_beta_entropy,0.7153456531,0.0065232943,regression exacte (residu < 1e-14)
cuneus_lh_beta_periodic,0.0376581588,0.0441973717,regression exacte (residu < 1e-14)
cuneus_lh_delta_connectivity,0.3299200068,0.0229780668,regression exacte (residu < 1e-14)
cuneus_lh_delta_entropy,0.4591905598,0.0010779426,regression exacte (residu < 1e-14)
cuneus_lh_delta_periodic,0.096186243,0.1112222974,regression exacte (residu < 1e-14)
cuneus_lh_exponent,1.0614918886,0.2956602661,regression exacte (residu < 1e-14)
cuneus_lh_gamma_connectivity,0.3468932366,0.0075871021,regression exacte (residu < 1e-14)
cuneus_lh_gamma_entropy,0.8473087298,0.0016426794,regression exacte (residu < 1e-14)
cuneus_lh_gamma_periodic,0.0686604557,0.0569465539,regression exacte (residu < 1e-14)
cuneus_lh_theta_connectivity,0.3300672289,0.0110451307,regression exacte (residu < 1e-14)
cuneus_lh_theta_entropy,0.5159767732,0.0021548813,regression exacte (residu < 1e-14)
